# Classiques
Édith Piaf | La vie en rose
Charles Trenet | La mer
Jacques Brel | Ne me quitte pas
Serge Gainsbourg | Je t'aime moi non plus
Elvis Presley | Can't Help Falling in Love
The Beatles | Hey Jude
The Rolling Stones | Satisfaction
Claude François | Comme d'habitude
Joe Dassin | Les Champs-Élysées
Michel Polnareff | La poupée qui fait non
ABBA | Dancing Queen
Queen | Bohemian Rhapsody
Bee Gees | Stayin' Alive
Boney M. | Rasputin
Village People | Y.M.C.A.
Michel Sardou | Les lacs du Connemara
Dalida | Laissez-moi danser
Johnny Hallyday | Allumer le feu
Nino Ferrer | Le Sud
Georges Brassens | Les copains d'abord
Michel Fugain | Une belle histoire
Claude Nougaro | Toulouse
Louis Armstrong | What a Wonderful World
The Beach Boys | Good Vibrations
Simon & Garfunkel | The Sound of Silence
Léo Ferré | Avec le temps
Frank Sinatra | My Way
# Années 80
Michael Jackson | Billie Jean
Indochine | L'aventurier
Jean-Jacques Goldman | Il suffira d'un signe
Daniel Balavoine | Le chanteur
Téléphone | Un autre monde
a-ha | Take On Me
Madonna | Like a Virgin
Cyndi Lauper | Girls Just Want to Have Fun
Eurythmics | Sweet Dreams
France Gall | Ella, elle l'a
Mylène Farmer | Désenchantée
Niagara | Pendant que les champs brûlent
Les Rita Mitsouko | Marcia Baila
Bon Jovi | Livin' On a Prayer
Whitney Houston | I Wanna Dance with Somebody
George Michael | Careless Whisper
Étienne Daho | Week-end à Rome
Francis Cabrel | Je l'aime à mourir
Rick Astley | Never Gonna Give You Up
Toto | Africa
Desireless | Voyage voyage
Michael Jackson | Thriller
Prince | Purple Rain
Queen | Another One Bites the Dust
Michael Sembello | Maniac
Renaud | Mistral gagnant
Jean-Jacques Goldman | Je te donne
Images | Les démons de minuit
Gold | Plus près des étoiles
Kool & The Gang | Celebration
Lio | Banana Split
# Années 90
Nirvana | Smells Like Teen Spirit
MC Solaar | Caroline
IAM | Je danse le mia
Alliance Ethnik | Simple et funky
Céline Dion | Pour que tu m'aimes encore
Britney Spears | Baby One More Time
Backstreet Boys | I Want It That Way
Spice Girls | Wannabe
Oasis | Wonderwall
Red Hot Chili Peppers | Under the Bridge
2 Be 3 | Partir un jour
Larusso | Tu m'oublieras
Manau | La tribu de Dana
Zebda | Tomber la chemise
Noir Désir | Le vent nous portera
Haddaway | What Is Love
Whigfield | Saturday Night
Ace of Base | All That She Wants
Pascal Obispo | Lucie
Nirvana | Come As You Are
Ophélie Winter | Dieu m'a donné la foi
Pascal Obispo | Tombé pour elle
Florent Pagny | Savoir aimer
Snap! | Rhythm Is a Dancer
Dr. Alban | It's My Life
Scatman John | Scatman
Alliage | Baila
Doc Gynéco | Nirvana
Cerrone | Supernature
# Années 2000
Daft Punk | One More Time
Stromae | Alors on danse
Diam's | La boulette
Kyo | Le chemin
Yannick Noah | Saga Africa
Tragédie | Hey Oh
K.Maro | Femme Like U
Eminem | Lose Yourself
OutKast | Hey Ya!
Beyoncé | Crazy in Love
Rihanna | Umbrella
Shakira | Hips Don't Lie
Coldplay | Viva la vida
Amy Winehouse | Rehab
Christophe Maé | On s'attache
Bénabar | Le dîner
Raphael | Caravane
Calogero | En apesanteur
Tokio Hotel | Durch den Monsun
Black Eyed Peas | I Gotta Feeling
Lady Gaga | Poker Face
Sean Paul | Get Busy
Corneille | Parce qu'on vient de loin
Superbus | Butterfly
M. Pokora | Elle me contrôle
Vitaa & Diam's | Confessions nocturnes
Zazie | Je suis un homme
Nelly Furtado | Promiscuous
